"holiday","temp","rain_1h","snow_1h","clouds_all","weather_main","weather_description","date_time","traffic_volume"
"None",15.13,0,0,40,"Clouds","scattered clouds","2012-10-02 09:00:00",5545
"None",16.21,0,0,75,"Clouds","broken clouds","2012-10-02 10:00:00",4516
"None",16.43,0,0,90,"Clouds","overcast clouds","2012-10-02 11:00:00",4767
"None",16.98,0,0,90,"Clouds","overcast clouds","2012-10-02 12:00:00",5026
"None",17.99,0,0,75,"Clouds","broken clouds","2012-10-02 13:00:00",4918
"None",18.5700000000001,0,0,1,"Clear","sky is clear","2012-10-02 14:00:00",5181
"None",20.02,0,0,1,"Clear","sky is clear","2012-10-02 15:00:00",5584
"None",20.71,0,0,1,"Clear","sky is clear","2012-10-02 16:00:00",6015
"None",20.99,0,0,20,"Clouds","few clouds","2012-10-02 17:00:00",5791
"None",19.95,0,0,20,"Clouds","few clouds","2012-10-02 18:00:00",4770
"None",17.8200000000001,0,0,20,"Clouds","few clouds","2012-10-02 19:00:00",3539
"None",16.23,0,0,1,"Clear","sky is clear","2012-10-02 20:00:00",2784
"None",15.46,0,0,1,"Clear","sky is clear","2012-10-02 21:00:00",2361
"None",14.01,0,0,1,"Clear","sky is clear","2012-10-02 22:00:00",1529
"None",12.3,0,0,1,"Clear","sky is clear","2012-10-02 23:00:00",963
"None",11.48,0,0,1,"Clear","sky is clear","2012-10-03 00:00:00",506
"None",10.3200000000001,0,0,1,"Clear","sky is clear","2012-10-03 01:00:00",321
"None",8.03000000000003,0,0,1,"Clear","sky is clear","2012-10-03 02:00:00",273
"None",7.94,0,0,1,"Clear","sky is clear","2012-10-03 03:00:00",367
"None",6.38,0,0,1,"Clear","sky is clear","2012-10-03 04:00:00",814
"None",5.47000000000003,0,0,1,"Clear","sky is clear","2012-10-03 05:00:00",2718
"None",5.08000000000004,0,0,1,"Clear","sky is clear","2012-10-03 06:00:00",5673
"None",4.97000000000003,0,0,1,"Clear","sky is clear","2012-10-03 08:00:00",6511
"None",9.33000000000004,0,0,1,"Clear","sky is clear","2012-10-03 09:00:00",5471
"None",18.8200000000001,0,0,1,"Clear","sky is clear","2012-10-03 12:00:00",5097
"None",20.08,0,0,1,"Clear","sky is clear","2012-10-03 13:00:00",4887
"None",21.16,0,0,1,"Clear","sky is clear","2012-10-03 14:00:00",5337
"None",22.02,0,0,1,"Clear","sky is clear","2012-10-03 15:00:00",5692
"None",21.98,0,0,1,"Clear","sky is clear","2012-10-03 16:00:00",6137
"None",20.51,0,0,20,"Clouds","few clouds","2012-10-03 18:00:00",4623
"None",17.5,0,0,20,"Clouds","few clouds","2012-10-03 19:00:00",3591
